105/11/11,0,0,---,---,---,---,---,0
105/11/14,113000,181780,1.60,1.63,1.58,1.58,-0.03,3
105/11/15,279000,454330,1.61,1.68,1.61,1.68,+0.10,8
105/11/16,1097000,1985310,1.73,1.94,1.72,1.93,+0.25,25
105/11/17,1118000,2130100,1.91,1.97,1.82,1.89,-0.04,43
105/11/18,328000,602940,1.82,1.86,1.77,1.78,-0.11,13
105/11/21,101000,176700,1.76,1.82,1.69,1.81,+0.03,12
105/11/22,192000,337740,1.77,1.82,1.73,1.79,-0.02,19
105/11/23,35000,59560,1.73,1.73,1.69,1.69,-0.10,10
105/11/24,159000,270460,1.68,1.75,1.68,1.72,+0.03,16
105/11/25,114000,187280,1.64,1.68,1.63,1.67,-0.05,20
