105/08/24,0,0,---,---,---,---,---,0
105/08/25,0,0,---,---,---,---,---,0
105/08/26,87000,106340,1.26,1.26,1.22,1.22,+0.02,2
105/08/29,542000,658610,1.22,1.27,1.18,1.25,+0.03,13
105/08/30,758000,969820,1.28,1.34,1.24,1.29,+0.04,16
105/08/31,286000,361660,1.28,1.28,1.23,1.25,-0.04,10
105/09/01,1000,1170,1.17,1.17,1.17,1.17,-0.08,1
105/09/02,795000,1037860,1.26,1.55,1.26,1.55,+0.38,13
105/09/05,1039000,1512650,1.52,1.55,1.38,1.43,-0.12,50
105/09/06,1265000,1832160,1.47,1.50,1.40,1.50,+0.07,22
105/09/07,1286000,2153850,1.54,1.73,1.54,1.56,+0.06,47
105/09/08,495000,742270,1.52,1.55,1.47,1.55,-0.01,14
105/09/09,40000,57800,1.44,1.45,1.44,1.45,-0.10,2
105/09/10,48000,63570,1.36,1.36,1.31,1.34,-0.11,5
105/09/12,1053000,1653680,1.39,1.64,1.37,1.37,+0.03,35
105/09/13,1456000,1985070,1.04,1.44,1.04,1.34,-0.03,71
105/09/14,772000,1037480,1.48,1.48,1.29,1.35,+0.01,22
105/09/19,1526000,2212780,1.05,1.55,1.05,1.48,+0.13,49
105/09/20,1478000,2134720,1.59,1.59,1.37,1.43,-0.05,37
105/09/21,527000,767420,1.46,1.51,1.40,1.40,-0.03,11
105/09/22,1304000,1995650,1.47,1.64,1.45,1.59,+0.19,44
105/09/23,3315000,6414550,1.67,2.15,1.67,2.07,+0.48,114
105/09/26,3234000,6887750,2.07,2.29,1.95,2.20,+0.13,115
105/09/29,1861000,3933430,2.29,2.29,1.94,1.95,-0.25,92
105/09/30,1962000,3873910,1.96,2.09,1.87,1.99,+0.04,61
105/10/03,693000,1373260,2.04,2.05,1.90,1.98,-0.01,28
105/10/04,2671000,5901830,2.00,2.34,2.00,2.10,+0.12,69
105/10/05,1137000,2404260,2.09,2.17,2.06,2.17,+0.07,31
105/10/06,1376000,3027790,2.28,2.28,2.09,2.14,-0.03,48
105/10/07,1326000,2774700,2.07,2.16,2.05,2.07,-0.07,30
105/10/11,642000,1370050,2.19,2.28,1.82,2.07,0.00,35
105/10/12,888000,1758260,2.03,2.03,1.90,2.03,-0.04,35
105/10/13,321000,658310,2.01,2.13,1.98,1.99,-0.04,15
105/10/14,443000,750440,1.89,1.89,1.60,1.60,-0.39,23
105/10/17,235000,372420,1.61,1.70,1.51,1.65,+0.05,17
105/10/18,403000,650620,1.64,1.65,1.59,1.61,-0.04,10
105/10/19,1266000,2017100,1.65,1.72,1.48,1.71,+0.10,26
105/10/20,2779000,5262370,1.81,2.00,1.81,1.85,+0.14,57
105/10/21,1615000,3042150,1.85,1.95,1.83,1.86,+0.01,29
105/10/24,1074000,1987920,1.91,1.91,1.82,1.85,-0.01,18
105/10/25,1395000,2516100,1.84,1.84,1.77,1.80,-0.05,23
105/10/26,972000,1783050,1.84,1.90,1.78,1.78,-0.02,21
105/10/27,1517000,2721490,1.78,1.85,1.73,1.82,+0.04,22
105/10/28,1450000,2583540,1.80,1.83,1.72,1.72,-0.10,43
105/10/31,439000,680240,1.50,1.63,1.50,1.62,-0.10,17
