105/11/10,10000,11100,1.11,1.11,1.11,1.11,+0.17,1
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,10000,9200,0.92,0.92,0.92,0.92,-0.04,1
105/11/18,391000,369830,0.93,0.97,0.93,0.97,+0.05,5
105/11/21,201000,195070,0.97,0.98,0.97,0.98,+0.01,5
105/11/22,412000,411930,1.00,1.00,0.99,0.99,+0.01,3
105/11/23,407000,386580,0.95,0.95,0.94,0.95,-0.04,5
105/11/24,465000,434850,0.92,0.95,0.92,0.95,0.00,5
105/11/25,113000,105090,0.93,0.93,0.93,0.93,-0.02,2
105/11/28,122000,113670,0.93,0.94,0.93,0.94,+0.01,4
105/11/29,255000,244880,0.96,0.98,0.95,0.97,+0.03,15
