105/08/24,400000,63000,0.16,0.16,0.15,0.15,+0.01,3
105/08/25,0,0,---,---,---,---,---,0
105/08/26,200000,30000,0.15,0.15,0.15,0.15,-0.01,1
105/08/29,0,0,---,---,---,---,---,0
105/08/30,23000,4310,0.19,0.19,0.17,0.17,+0.02,2
105/08/31,0,0,---,---,---,---,---,0
105/09/01,100000,14000,0.15,0.15,0.13,0.13,-0.03,2
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,60000,7200,0.12,0.12,0.12,0.12,0.00,2
105/09/07,10000,1100,0.11,0.11,0.11,0.11,-0.01,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,20000,2000,0.10,0.10,0.10,0.10,-0.03,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,16000,1280,0.08,0.08,0.08,0.08,-0.02,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,40000,4000,0.10,0.10,0.10,0.10,+0.01,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
