105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,111000,313410,2.89,2.89,2.77,2.83,-0.05,5
105/10/18,111000,316350,2.91,2.91,2.82,2.87,+0.04,6
105/10/19,40000,118300,2.97,2.97,2.92,2.92,+0.05,3
105/10/20,50000,126880,2.52,2.62,2.44,2.44,-0.48,6
105/10/21,107000,236080,2.12,2.26,2.12,2.14,-0.30,11
105/10/24,211000,392900,2.12,2.12,1.68,1.76,-0.38,18
105/10/25,405000,846950,1.95,2.51,1.89,2.48,+0.72,24
105/10/26,306000,730660,2.30,2.53,2.20,2.27,-0.21,17
105/10/27,130000,304560,2.35,2.44,2.32,2.37,+0.10,10
105/10/28,127000,271980,2.12,2.30,2.04,2.30,-0.07,9
105/10/31,67000,127830,1.86,2.04,1.85,2.00,-0.30,7
105/11/01,14000,23900,1.93,1.93,1.62,1.63,-0.37,4
105/11/02,15000,21370,1.38,1.45,1.38,1.42,-0.21,5
105/11/03,6000,7420,1.36,1.36,1.17,1.17,-0.25,3
105/11/04,201000,238460,1.16,1.22,1.16,1.17,0.00,4
105/11/07,674000,515460,0.92,0.95,0.60,0.62,-0.55,37
105/11/08,1121000,716120,0.63,0.70,0.55,0.55,-0.07,48
105/11/09,831000,357180,0.53,0.53,0.30,0.31,-0.24,31
105/11/10,641000,272560,0.39,0.50,0.38,0.43,+0.12,31
105/11/11,639000,360000,0.46,0.63,0.46,0.58,+0.15,34
105/11/14,463000,289200,0.67,0.69,0.55,0.66,+0.08,46
105/11/15,1266000,931760,0.68,0.85,0.68,0.81,+0.15,49
105/11/16,504000,412710,0.91,0.92,0.71,0.86,+0.05,44
105/11/17,229000,192700,0.88,0.90,0.80,0.82,-0.04,18
105/11/18,388000,265860,0.81,0.81,0.63,0.69,-0.13,29
105/11/21,257000,193100,0.77,0.78,0.72,0.78,+0.09,16
105/11/22,405000,346400,0.85,0.92,0.82,0.82,+0.04,25
105/11/23,1001000,916190,0.84,0.96,0.80,0.93,+0.11,36
105/11/24,532000,455190,0.91,0.96,0.77,0.80,-0.13,28
105/11/25,574000,655900,0.91,1.27,0.91,1.27,+0.47,29
105/11/28,1848000,2945060,1.43,1.73,1.38,1.59,+0.32,56
105/11/29,1615000,2395370,1.50,1.62,1.36,1.51,-0.08,79
105/11/30,978000,1526570,1.62,1.70,1.37,1.39,-0.12,39
105/12/01,1671000,1899810,1.28,1.28,1.06,1.20,-0.19,58
105/12/02,343000,354980,1.20,1.20,1.02,1.03,-0.17,12
105/12/05,1166000,1264950,1.06,1.15,1.04,1.09,+0.06,23
105/12/06,1025000,980790,0.97,1.00,0.87,0.93,-0.16,29
105/12/07,1024000,1065980,1.03,1.11,0.96,0.96,+0.03,18
105/12/08,1606000,1982700,1.07,1.38,1.05,1.22,+0.26,58
105/12/09,693000,859980,1.30,1.31,1.15,1.16,-0.06,51
