105/08/24,50000,36000,0.72,0.72,0.72,0.72,-0.02,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,400000,194000,0.48,0.49,0.48,0.49,-0.10,4
105/09/02,50000,19000,0.38,0.38,0.38,0.38,-0.11,2
105/09/05,100000,38000,0.36,0.40,0.36,0.40,+0.02,3
105/09/06,50000,24000,0.48,0.48,0.48,0.48,+0.08,1
105/09/07,0,0,---,---,---,---,---,0
105/09/08,405000,236400,0.50,0.60,0.50,0.59,+0.10,6
105/09/09,270000,148430,0.55,0.57,0.54,0.55,-0.04,7
105/09/10,174000,88240,0.51,0.51,0.50,0.51,-0.04,4
105/09/12,37000,18720,0.48,0.52,0.48,0.52,+0.01,2
105/09/13,13000,6630,0.51,0.51,0.51,0.51,-0.01,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,300000,141000,0.47,0.47,0.47,0.47,-0.02,2
105/09/26,300000,137670,0.47,0.47,0.45,0.45,-0.02,4
105/09/29,40000,17600,0.44,0.44,0.44,0.44,-0.01,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,7000,2660,0.38,0.38,0.38,0.38,-0.04,1
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,7000,1750,0.25,0.25,0.25,0.25,-0.06,1
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,600000,186000,0.31,0.31,0.31,0.31,+0.02,2
105/10/20,619000,190100,0.32,0.32,0.30,0.31,0.00,4
105/10/21,1318000,411480,0.31,0.38,0.31,0.32,+0.01,7
105/10/24,136000,40800,0.30,0.30,0.30,0.30,-0.02,2
105/10/25,0,0,---,---,---,---,---,0
