105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,5000,7750,1.55,1.55,1.55,1.55,+0.04,1
105/10/07,10000,15400,1.54,1.54,1.54,1.54,-0.01,2
105/10/11,18000,23740,1.34,1.36,1.30,1.30,-0.24,5
105/10/12,498000,652880,1.26,1.38,1.26,1.36,+0.06,10
105/10/13,484000,639920,1.39,1.39,1.25,1.29,-0.07,19
105/10/14,35000,42170,1.24,1.26,1.11,1.15,-0.14,7
105/10/17,16000,18240,1.11,1.18,1.11,1.18,+0.03,4
105/10/18,427000,495230,1.16,1.25,1.14,1.25,+0.07,10
105/10/19,415000,532110,1.29,1.29,1.26,1.27,+0.02,10
105/10/20,267000,309360,1.16,1.20,1.14,1.20,-0.07,4
105/10/21,256000,311230,1.21,1.23,1.20,1.20,0.00,8
105/10/24,21000,25410,1.17,1.29,1.17,1.23,+0.03,3
105/10/25,31000,35210,1.11,1.18,1.11,1.18,-0.05,8
105/10/26,13000,14680,1.16,1.16,1.08,1.10,-0.08,3
105/10/27,4000,4360,1.09,1.09,1.09,1.09,-0.01,1
105/10/28,4000,4040,1.01,1.01,1.01,1.01,-0.08,2
105/10/31,6000,5460,0.90,0.92,0.90,0.92,-0.09,2
105/11/01,18000,17020,0.95,0.95,0.93,0.93,+0.01,4
105/11/02,24000,17950,0.83,0.84,0.70,0.70,-0.23,9
105/11/03,19000,13230,0.73,0.73,0.68,0.68,-0.02,5
105/11/04,32000,22520,0.68,0.72,0.67,0.67,-0.01,8
