105/08/24,624000,915680,1.49,1.50,1.43,1.45,-0.08,17
105/08/25,400000,589210,1.44,1.50,1.44,1.49,+0.04,12
105/08/26,230000,334400,1.46,1.47,1.44,1.45,-0.04,9
105/08/29,120000,171370,1.40,1.50,1.40,1.43,-0.02,4
105/08/30,59000,84960,1.44,1.44,1.44,1.44,+0.01,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,91000,112890,1.29,1.29,1.24,1.24,-0.11,2
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,67000,62180,0.92,0.94,0.92,0.94,-0.13,3
105/09/07,67000,60580,0.92,0.92,0.88,0.88,-0.06,4
105/09/08,50000,48000,0.96,0.96,0.96,0.96,+0.08,1
105/09/09,740000,702360,0.93,0.97,0.93,0.97,+0.01,6
105/09/10,740000,678290,0.91,0.92,0.91,0.92,-0.05,9
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,50000,40500,0.81,0.81,0.81,0.81,0.00,1
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,23000,20470,0.89,0.89,0.89,0.89,+0.02,1
105/09/23,23000,18860,0.82,0.82,0.82,0.82,-0.07,2
105/09/26,5000,4400,0.88,0.88,0.88,0.88,+0.06,1
105/09/29,5000,4150,0.83,0.83,0.83,0.83,-0.05,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,20000,7400,0.37,0.37,0.37,0.37,-0.12,1
105/10/12,1164000,512160,0.44,0.44,0.44,0.44,+0.07,8
105/10/13,1264000,579140,0.47,0.47,0.44,0.45,+0.01,10
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,100000,54000,0.54,0.54,0.54,0.54,+0.03,1
105/10/26,100000,53000,0.53,0.53,0.53,0.53,-0.01,1
105/10/27,499000,284430,0.57,0.57,0.57,0.57,+0.04,2
105/10/28,799000,433450,0.53,0.55,0.53,0.55,-0.02,2
105/10/31,300000,150000,0.50,0.50,0.50,0.50,-0.05,1
