105/08/24,398000,155220,0.39,0.39,0.39,0.39,-0.02,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,10000,3400,0.34,0.34,0.34,0.34,-0.05,1
105/08/30,10000,3700,0.37,0.37,0.37,0.37,+0.03,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,896000,295680,0.33,0.33,0.33,0.33,0.00,5
105/09/08,896000,304640,0.34,0.34,0.34,0.34,+0.01,5
105/09/09,29000,9570,0.33,0.33,0.33,0.33,-0.01,4
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,30000,7500,0.25,0.25,0.25,0.25,-0.01,3
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
