105/11/11,0,0,---,---,---,---,---,0
105/11/14,186000,373880,1.99,2.08,1.99,2.08,+0.02,4
105/11/15,116000,209460,1.89,1.89,1.72,1.72,-0.36,5
105/11/16,941000,1595880,1.60,1.80,1.60,1.78,+0.06,27
105/11/17,498000,789510,1.57,1.62,1.54,1.60,-0.18,9
105/11/18,259000,470530,1.75,1.83,1.75,1.77,+0.17,3
105/11/21,323000,543250,1.72,1.73,1.66,1.71,-0.06,6
105/11/22,940000,1471220,1.59,1.59,1.50,1.59,-0.12,14
105/11/23,690000,1093930,1.56,1.60,1.48,1.48,-0.11,13
105/11/24,475000,713950,1.47,1.58,1.42,1.58,+0.10,18
105/11/25,437000,545550,1.48,1.48,0.95,1.19,-0.39,20
105/11/28,204000,214110,1.09,1.09,0.99,1.02,-0.17,15
105/11/29,171000,175390,1.07,1.07,1.01,1.04,+0.02,11
105/11/30,260000,258700,0.97,1.01,0.97,1.00,-0.04,10
105/12/01,489000,586990,1.10,1.28,1.10,1.18,+0.18,21
105/12/02,190000,239350,1.29,1.29,1.22,1.23,+0.05,9
105/12/05,150000,180500,1.25,1.25,1.18,1.18,-0.05,5
105/12/06,191000,246920,1.27,1.32,1.25,1.30,+0.12,10
105/12/07,234000,289790,1.24,1.26,1.18,1.26,-0.04,10
105/12/08,323000,344330,1.17,1.17,1.00,1.08,-0.18,17
105/12/09,48000,50600,1.04,1.06,1.04,1.06,-0.02,3
105/12/12,365000,424350,1.12,1.23,1.12,1.23,+0.17,11
105/12/13,465000,545180,1.19,1.22,1.16,1.22,-0.01,15
105/12/14,155000,158900,1.07,1.07,0.99,0.99,-0.23,10
