105/08/24,0,0,---,---,---,---,---,0
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,10000,5200,0.52,0.52,0.52,0.52,0.00,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,45000,21150,0.47,0.47,0.47,0.47,0.00,2
105/09/07,10000,4800,0.48,0.48,0.48,0.48,+0.01,1
105/09/08,20000,9600,0.48,0.48,0.48,0.48,0.00,1
105/09/09,54000,27040,0.47,0.51,0.47,0.51,+0.03,3
105/09/10,49000,23030,0.47,0.47,0.47,0.47,-0.04,2
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,10000,3800,0.38,0.38,0.38,0.38,0.00,1
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,20000,7200,0.36,0.36,0.36,0.36,0.00,1
