105/08/24,5010,73595,14.75,14.75,14.60,14.60,,5
105/08/25,12000,174200,14.60,14.60,14.50,14.50,-0.10,9
105/08/26,3085,44623,14.50,14.50,14.40,14.40,-0.10,5
105/08/29,1000,14850,14.85,14.85,14.85,14.85,+0.45,1
105/08/30,3000,43500,14.50,14.50,14.50,14.50,-0.35,3
105/08/31,3022,43266,14.35,14.35,14.30,14.30,-0.20,4
105/09/01,4000,56900,14.15,14.55,14.10,14.55,+0.25,4
105/09/02,65000,952800,14.65,14.80,14.40,14.40,-0.15,10
105/09/05,1692,24634,14.60,14.60,14.60,14.60,+0.20,2
105/09/06,4000,57500,14.50,14.50,14.30,14.30,-0.30,3
105/09/07,5692,81326,14.30,14.30,14.30,14.30,0.00,7
105/09/08,1692,24514,14.55,14.55,14.55,14.55,+0.25,3
105/09/09,0,0,---,---,---,---,---,0
105/09/10,19000,260400,13.55,13.95,13.55,13.90,-0.65,16
105/09/12,17536,240496,13.70,13.95,13.65,13.95,+0.05,8
105/09/13,16001,216563,13.70,13.75,13.35,13.65,-0.30,16
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,6666,91340,13.60,13.95,13.60,13.95,+0.30,7
105/09/21,0,0,---,---,---,---,---,0
105/09/22,2000,27600,13.70,13.90,13.70,13.90,+0.05,2
