105/08/24,13000,29860,2.29,2.32,2.29,2.32,-0.35,4
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,2000,5840,2.92,2.92,2.92,2.92,+0.60,1
105/08/30,125000,288100,2.33,2.33,2.29,2.29,-0.63,22
105/08/31,31000,71920,2.32,2.32,2.32,2.32,+0.03,3
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,2000,5220,2.61,2.61,2.61,2.61,-0.17,1
105/09/07,2000,5380,2.64,2.74,2.64,2.74,+0.13,2
105/09/08,5000,14050,2.81,2.81,2.81,2.81,+0.07,1
105/09/09,0,0,---,---,---,---,---,0
105/09/10,90000,245960,2.91,2.91,2.63,2.68,-0.30,14
105/09/12,11000,29810,2.71,2.71,2.71,2.71,+0.03,2
105/09/13,0,0,---,---,---,---,---,0
105/09/14,21000,58780,2.78,2.80,2.78,2.80,+0.09,2
105/09/19,4000,11640,2.91,2.91,2.91,2.91,+0.11,1
105/09/20,27000,80010,2.95,3.03,2.95,3.03,+0.12,5
105/09/21,4000,12140,3.05,3.05,3.03,3.03,0.00,2
105/09/22,6000,17030,3.08,3.08,2.79,2.79,-0.24,2
105/09/23,16000,44040,2.80,2.80,2.74,2.74,-0.05,3
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,10000,21500,2.15,2.15,2.15,2.15,+0.10,1
105/10/13,13000,26510,2.06,2.06,1.97,1.97,-0.18,2
105/10/14,15000,27500,1.80,1.85,1.80,1.85,-0.12,2
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,7000,15760,2.11,2.44,2.11,2.44,+0.24,2
105/10/20,10000,23400,2.34,2.34,2.34,2.34,-0.10,1
105/10/21,14000,34420,2.41,2.58,2.41,2.58,+0.24,2
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,13000,32570,2.54,2.54,2.49,2.49,+0.18,3
105/10/27,9000,22230,2.55,2.55,2.37,2.37,-0.12,2
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
