106/01/09,3503,29203,8.36,8.36,8.36,8.36,0.00,6
106/01/10,0,0,---,---,---,---,---,0
106/01/11,3236,25641,8.25,8.25,7.40,7.40,-0.79,4
106/01/12,3240,23856,7.40,7.40,7.40,7.40,0.00,2
106/01/13,6472,47892,7.40,7.40,7.40,7.40,0.00,3
106/01/16,1337,8969,---,---,---,---,-7.40,5
106/01/17,2088,13946,6.68,6.68,6.68,6.68,-0.72,5
106/01/18,14195,87342,6.02,6.30,6.02,6.30,-0.38,7
106/01/19,4000,24710,5.81,6.30,5.81,6.30,0.00,2
106/01/20,2000,11600,5.80,5.80,5.80,5.80,-0.50,1
106/01/23,2999,17393,5.80,5.80,5.80,5.80,0.00,4
106/01/24,13920,84748,6.01,6.35,6.01,6.35,+0.55,7
106/02/02,3514,22159,6.35,6.35,6.35,6.35,0.00,4
106/02/03,9721,56923,5.85,5.86,5.85,5.86,-0.49,11
106/02/06,32736,174473,5.55,5.55,5.28,5.28,-0.58,11
106/02/07,34704,183243,5.28,5.28,5.28,5.28,0.00,9
106/02/08,7023,36242,5.16,5.16,5.16,5.16,-0.12,3
106/02/09,9000,51030,5.67,5.67,5.67,5.67,+0.51,5
106/02/10,15367,82914,5.67,5.67,5.35,5.38,-0.29,10
106/02/13,18223,105784,5.91,5.91,5.66,5.66,+0.28,7
106/02/14,500,2710,---,---,---,---,---,1
106/02/15,36264,225560,6.22,6.22,6.22,6.22,+0.56,18
106/02/16,2270,14823,6.53,6.53,6.53,6.53,+0.31,3
106/02/17,6000,38400,6.40,6.40,6.40,6.40,-0.13,3
106/02/18,6500,41350,6.39,6.40,6.39,6.40,0.00,3
106/02/20,5000,32150,6.45,6.45,6.40,6.40,0.00,3
106/02/21,1000,6400,6.40,6.40,6.40,6.40,0.00,1
106/02/22,19236,135329,7.04,7.04,7.04,7.04,+0.64,12
106/02/23,3659,24106,7.04,7.04,6.55,6.55,-0.49,7
106/02/24,0,0,---,---,---,---,---,0
106/03/01,2208,14897,6.75,6.75,6.75,6.75,+0.20,11
106/03/02,0,0,---,---,---,---,---,0
106/03/03,11000,77400,7.40,7.40,7.00,7.00,+0.25,2
106/03/06,1294,9076,7.05,7.05,7.05,7.05,+0.05,4
106/03/07,2500,18339,7.05,7.75,7.05,7.75,+0.70,5
106/03/08,203,1573,---,---,---,---,---,1
106/03/09,2000,14300,7.15,7.15,7.15,7.15,-0.35,2
106/03/10,3002,21114,7.10,7.10,7.00,7.00,-0.15,5
106/03/13,1505,10407,7.10,7.10,7.10,7.10,+0.10,3
106/03/14,1100,8190,7.49,7.49,7.49,7.49,+0.39,2
106/03/15,3000,21900,7.45,7.45,7.00,7.00,-0.49,3
106/03/16,4000,29380,7.10,7.49,7.10,7.49,+0.49,4
106/03/17,4500,33450,7.45,7.50,7.45,7.50,+0.01,5
106/03/20,0,0,---,---,---,---,---,0
106/03/21,2410,17070,7.10,7.10,7.10,7.10,-0.40,3
106/03/22,358,2405,---,---,---,---,---,1
106/03/23,3126,23063,7.40,7.40,7.40,7.40,+0.30,4
106/03/24,1251,8414,6.72,6.72,6.72,6.72,-0.68,2
106/03/27,4,26,---,---,---,---,---,1
106/03/28,4000,26880,6.72,6.72,6.72,6.72,0.00,1
106/03/29,2000,13440,6.72,6.72,6.72,6.72,0.00,2
106/03/30,13708,86367,6.30,6.30,6.30,6.30,-0.42,5
106/03/31,1251,8192,6.60,6.60,6.60,6.60,+0.30,4
106/04/05,4099,28293,6.60,7.00,6.60,7.00,+0.40,5
