105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,101000,132370,1.32,1.32,1.30,1.30,+0.06,3
105/10/13,0,0,---,---,---,---,---,0
105/10/14,91000,112520,1.24,1.24,1.22,1.22,-0.05,2
105/10/17,0,0,---,---,---,---,---,0
105/10/18,99000,135680,1.14,1.40,1.14,1.40,+0.37,4
105/10/19,37000,50320,1.36,1.36,1.36,1.36,-0.04,1
105/10/20,575000,843850,1.50,1.50,1.45,1.46,+0.10,15
105/10/21,539000,811280,1.50,1.52,1.40,1.44,-0.02,10
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,749000,1125470,1.41,1.56,1.41,1.54,+0.24,32
105/11/02,1615000,2547030,1.63,1.68,1.50,1.52,-0.02,46
105/11/03,1491000,2396200,1.62,1.65,1.56,1.59,+0.07,38
105/11/04,821000,1241890,1.47,1.54,1.47,1.52,-0.07,21
105/11/07,327000,529950,1.64,1.64,1.53,1.53,+0.01,8
105/11/08,25000,36500,1.46,1.46,1.46,1.46,-0.07,2
105/11/09,57000,71770,1.39,1.39,1.13,1.13,-0.33,6
105/11/10,0,0,---,---,---,---,---,0
