105/08/24,0,0,--,--,--,--,,0
105/08/25,0,0,--,--,--,--,,0
105/08/26,0,0,--,--,--,--,,0
105/08/29,0,0,--,--,--,--,,0
105/08/30,0,0,--,--,--,--,,0
105/08/31,0,0,--,--,--,--,,0
105/09/01,50000,75500,1.51,1.51,1.51,1.51,X,1
105/09/02,50000,76500,1.53,1.53,1.53,1.53,0.02,1
105/09/05,0,0,--,--,--,--,,0
105/09/06,0,0,--,--,--,--,,0
105/09/07,30000,54000,1.80,1.80,1.80,1.80,X,1
105/09/08,0,0,--,--,--,--,,0
105/09/09,100000,172000,1.72,1.72,1.72,1.72,X,1
105/09/10,0,0,--,--,--,--,,0
105/09/12,125000,182750,1.47,1.47,1.46,1.46,X,3
105/09/13,200000,274000,1.37,1.37,1.37,1.37,-0.09,1
105/09/14,0,0,--,--,--,--,,0
105/09/19,5000,8100,1.62,1.62,1.62,1.62,X,1
105/09/20,0,0,--,--,--,--,,0
105/09/21,0,0,--,--,--,--,,0
105/09/22,0,0,--,--,--,--,,0
105/09/23,0,0,--,--,--,--,,0
105/09/26,0,0,--,--,--,--,,0
105/09/29,0,0,--,--,--,--,,0
105/09/30,0,0,--,--,--,--,,0
105/10/03,0,0,--,--,--,--,,0
105/10/04,0,0,--,--,--,--,,0
105/10/05,0,0,--,--,--,--,,0
105/10/06,0,0,--,--,--,--,,0
105/10/07,0,0,--,--,--,--,,0
105/10/11,0,0,--,--,--,--,,0
105/10/12,0,0,--,--,--,--,,0
105/10/13,0,0,--,--,--,--,,0
105/10/14,0,0,--,--,--,--,,0
105/10/17,0,0,--,--,--,--,,0
105/10/18,0,0,--,--,--,--,,0
105/10/19,0,0,--,--,--,--,,0
105/10/20,0,0,--,--,--,--,,0
105/10/21,0,0,--,--,--,--,,0
105/10/24,0,0,--,--,--,--,,0
105/10/25,0,0,--,--,--,--,,0
105/10/26,4000,7340,1.84,1.84,1.83,1.83,X,2
105/10/27,4000,7110,1.80,1.80,1.76,1.76,-0.07,4
105/10/28,0,0,--,--,--,--,,0
105/10/31,8000,13880,1.70,1.77,1.68,1.77,X,8
105/11/01,0,0,--,--,--,--,,0
