105/09/14,102000,63240,0.62,0.62,0.62,0.62,-0.01,2
105/09/19,0,0,---,---,---,---,---,0
105/09/20,101000,65680,0.65,0.68,0.65,0.68,+0.04,2
105/09/21,0,0,---,---,---,---,---,0
105/09/22,2000,1260,0.63,0.63,0.63,0.63,-0.03,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,40000,21600,0.55,0.55,0.53,0.53,-0.05,2
105/10/03,60000,30600,0.51,0.51,0.51,0.51,-0.02,1
105/10/04,161000,86340,0.53,0.54,0.53,0.54,+0.03,2
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,100000,55000,0.55,0.55,0.55,0.55,+0.02,1
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,200000,96000,0.48,0.48,0.48,0.48,+0.02,3
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,11000,4510,0.41,0.41,0.41,0.41,0.00,2
105/10/21,20000,8200,0.41,0.41,0.41,0.41,0.00,1
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,250000,71000,0.30,0.30,0.28,0.28,-0.04,3
105/11/03,0,0,---,---,---,---,---,0
105/11/04,50000,13500,0.27,0.27,0.27,0.27,0.00,1
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,5000,900,0.18,0.18,0.18,0.18,-0.02,1
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,10000,2200,0.22,0.22,0.22,0.22,+0.05,1
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,60000,17000,0.27,0.32,0.27,0.32,+0.08,5
