105/10/24,100000,74000,0.74,0.74,0.74,0.74,-0.01,2
105/10/25,110000,79500,0.72,0.75,0.72,0.75,+0.01,2
105/10/26,20000,15700,0.78,0.79,0.78,0.79,+0.04,2
105/10/27,507000,427730,0.79,0.87,0.79,0.87,+0.08,11
105/10/28,521000,423220,0.82,0.83,0.80,0.83,-0.04,9
105/10/31,24000,18240,0.76,0.76,0.76,0.76,-0.07,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,3000,1980,0.66,0.66,0.66,0.66,-0.06,2
105/11/03,380000,231610,0.60,0.62,0.60,0.61,-0.05,4
105/11/04,556000,369910,0.64,0.70,0.64,0.69,+0.08,10
105/11/07,273000,184870,0.69,0.69,0.65,0.65,-0.04,4
105/11/08,210000,133400,0.63,0.64,0.63,0.64,-0.01,3
105/11/09,110000,62000,0.60,0.60,0.56,0.56,-0.08,2
105/11/10,144000,91320,0.62,0.65,0.62,0.65,+0.09,4
105/11/11,124000,72560,0.60,0.60,0.57,0.58,-0.07,3
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,169000,100370,0.59,0.62,0.59,0.62,+0.06,3
105/11/17,147000,84790,0.59,0.59,0.57,0.57,-0.05,4
105/11/18,40000,23600,0.59,0.59,0.59,0.59,+0.02,1
105/11/21,40000,23200,0.58,0.58,0.58,0.58,-0.01,1
105/11/22,0,0,---,---,---,---,---,0
105/11/23,66000,38280,0.58,0.58,0.58,0.58,+0.02,1
105/11/24,116000,65960,0.56,0.58,0.56,0.58,0.00,2
105/11/25,10000,5500,0.55,0.55,0.55,0.55,-0.03,1
105/11/28,50000,27500,0.55,0.55,0.55,0.55,0.00,1
105/11/29,40000,21900,0.52,0.56,0.52,0.56,+0.01,3
105/11/30,226000,135940,0.59,0.62,0.59,0.62,+0.06,4
105/12/01,216000,126280,0.59,0.59,0.58,0.58,-0.04,5
