105/08/24,82000,136120,1.66,1.66,1.66,1.66,-0.03,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,226000,352560,1.56,1.56,1.56,1.56,+0.02,2
105/08/29,345000,538210,1.53,1.59,1.53,1.59,+0.03,17
105/08/30,121000,190990,1.57,1.60,1.57,1.59,0.00,10
105/08/31,12000,19480,1.59,1.63,1.59,1.63,+0.04,2
105/09/01,10000,15600,1.56,1.56,1.56,1.56,-0.07,1
105/09/02,60000,104400,1.65,1.80,1.65,1.79,+0.23,6
105/09/05,60000,108920,1.82,1.82,1.80,1.80,+0.01,4
105/09/06,18000,32080,1.78,1.81,1.77,1.81,+0.01,6
105/09/07,84000,166980,1.97,2.03,1.97,1.98,+0.17,6
105/09/08,78000,135510,1.75,1.76,1.65,1.67,-0.31,9
105/09/09,20000,33800,1.69,1.69,1.69,1.69,+0.02,1
105/09/10,22000,39600,1.78,1.82,1.78,1.80,+0.11,3
105/09/12,0,0,---,---,---,---,---,0
